Batch,Date and time,pH,OXYGEN,TOTAL_LIQUID_INFLOW,TOTAL_GAS_INFLOW,MEAN_OFFGAS,MEAN_PRESSURE,t_norm
4041,2020-03-18 00:00:00,5.907,7.974000000000001,16946.616,7774.942,30.845,3.4534999999999996,0.0
4041,2020-03-18 12:00:00,5.798541666666666,77.26416666666667,18304.243749999998,8728.26625,10.074270833333333,3.608541666666667,0.017543859649122806
4041,2020-03-19 00:00:00,5.798541666666666,27.033333333333335,19450.37875,8439.782291666666,7.088854166666667,3.6342708333333333,0.03508771929824561
4041,2020-03-19 12:00:00,5.792916666666667,16.853958333333335,22675.74625,9829.953958333334,7.3240625,3.65375,0.05263157894736842
4041,2020-03-20 00:00:00,5.799375,66.82062499999999,24337.118541666667,9961.6725,6.942395833333333,3.5986458333333338,0.07017543859649122
4041,2020-03-20 12:00:00,5.796875,14.944583333333334,23753.630833333333,9969.849791666666,7.246458333333333,3.6413541666666664,0.08771929824561403
4041,2020-03-21 00:00:00,5.800416666666667,7.135208333333334,23241.85479166667,10005.883125,6.963958333333333,3.6520833333333336,0.10526315789473684
4041,2020-03-21 12:00:00,5.7977083333333335,3.841041666666667,23217.110416666666,10218.079375,8.1925,3.6569791666666664,0.12280701754385964
4041,2020-03-22 00:00:00,5.795416666666667,6.72,23383.417708333334,10666.613541666668,7.878020833333333,3.6593750000000003,0.14035087719298245
4041,2020-03-22 12:00:00,5.796666666666667,3.606666666666667,23888.48041666667,11230.080416666666,6.7718750000000005,3.6750000000000003,0.15789473684210525
4041,2020-03-23 00:00:00,5.8,3.797083333333333,23951.23875,11227.659166666666,6.2785416666666665,3.6659375,0.17543859649122806
4041,2020-03-23 12:00:00,5.799166666666667,5.588333333333334,23848.635416666668,11223.004374999999,6.920520833333334,3.6580208333333335,0.19298245614035087
4041,2020-03-24 00:00:00,5.794375,6.252291666666667,23850.580208333336,11092.662708333331,6.860104166666666,3.6580208333333335,0.21052631578947367
4041,2020-03-24 12:00:00,5.761458333333334,5.732083333333333,23905.318125,10686.260833333334,6.689895833333334,3.6624999999999996,0.22807017543859648
4041,2020-03-25 00:00:00,5.799375,4.966875,23916.124583333334,10226.840416666668,6.75125,3.6585416666666664,0.24561403508771928
4041,2020-03-25 12:00:00,5.796458333333334,7.101041666666667,23850.543125,10226.259583333334,7.313125,3.6558333333333333,0.2631578947368421
4041,2020-03-26 00:00:00,5.7995833333333335,4.858125,23923.002708333337,10227.118541666667,6.331145833333333,3.67125,0.2807017543859649
4041,2020-03-26 12:00:00,5.799375,7.4054166666666665,23964.101874999997,10269.750625,6.380416666666666,3.6297916666666663,0.2982456140350877
4041,2020-03-27 00:00:00,5.80125,21.294166666666666,24289.747708333332,11988.779375,6.110416666666667,3.6359375000000003,0.3157894736842105
4041,2020-03-27 12:00:00,5.800208333333333,5.6625000000000005,24505.31979166667,12244.859375,6.1078125000000005,3.660625,0.3333333333333333
4041,2020-03-28 00:00:00,5.800833333333333,6.838333333333334,24927.607291666664,12236.889791666666,6.728645833333334,3.6551041666666664,0.3508771929824561
4041,2020-03-28 12:00:00,5.805416666666666,8.566458333333333,24936.28125,11739.399583333334,6.200625,3.6653125,0.3684210526315789
4041,2020-03-29 00:00:00,5.799318181818181,3.8931818181818185,25023.63340909091,11745.042727272727,6.152613636363636,3.6693181818181815,0.38596491228070173
4041,2020-03-29 12:00:00,5.805319148936169,14.311458333333334,24896.628125,11735.152916666666,6.882934782608696,3.616979166666667,0.40350877192982454
4041,2020-03-30 00:00:00,5.7995833333333335,44.232708333333335,24924.20645833333,11735.695,6.442708333333333,3.598125,0.42105263157894735
4041,2020-03-30 12:00:00,5.798958333333332,26.48,24961.797916666666,11741.695,6.324375,3.5814583333333334,0.43859649122807015
4041,2020-03-31 00:00:00,5.7977083333333335,4.983125,24929.028333333335,11848.17125,6.498958333333333,3.6425,0.45614035087719296
4041,2020-03-31 12:00:00,5.798958333333334,15.736041666666667,24990.384791666667,12239.047291666668,6.206666666666667,3.64125,0.47368421052631576
4041,2020-04-01 00:00:00,5.799791666666667,13.207500000000001,24635.944375000003,12249.019166666667,6.388125,3.62625,0.49122807017543857
4041,2020-04-01 12:00:00,5.740833333333334,10.709375,24589.206666666665,12287.360833333334,6.634687499999999,3.608125,0.5087719298245614
4041,2020-04-02 00:00:00,5.799791666666667,6.747708333333333,24596.992499999997,12746.88375,6.5890625,3.6275,0.5263157894736842
4041,2020-04-02 12:00:00,5.806458333333333,3.388125,24842.810833333333,12757.261458333334,7.19625,3.6502083333333335,0.543859649122807
4041,2020-04-03 00:00:00,5.796458333333334,14.746249999999998,25130.806041666667,12751.394791666666,6.7059375,3.6321875,0.5614035087719298
4041,2020-04-03 12:00:00,5.806458333333333,36.72708333333333,25482.981458333335,12649.26625,6.583645833333333,3.5709375,0.5789473684210527
4041,2020-04-04 00:00:00,5.80125,41.51708333333333,25492.121875,12071.489791666667,6.3507291666666665,3.5565625,0.5964912280701754
4041,2020-04-04 12:00:00,5.7995833333333335,37.84625,25303.433333333334,11286.610625000001,6.587291666666666,3.5805208333333334,0.6140350877192983
4041,2020-04-05 00:00:00,5.799791666666667,27.941666666666666,25349.321458333332,11235.426875,6.4930208333333335,3.603229166666667,0.631578947368421
